Solving SGP( :	27 , 3 , 32 , 
Maximum tabu length set to:	100
, Miniumu tabu length set to:	4
, Maximum Tries:	10000
, Maximum Stable Tries:	300

1587717168 INFO tabu : New best sgp (812) found
1587717168 INFO tabu : New best sgp (808) found
1587717168 INFO tabu : New best sgp (804) found
1587717168 INFO tabu : New best sgp (800) found
1587717168 INFO tabu : New best sgp (796) found
1587717169 INFO tabu : New best sgp (792) found
1587717169 INFO tabu : New best sgp (788) found
1587717169 INFO tabu : New best sgp (784) found
1587717169 INFO tabu : New best sgp (780) found
1587717169 INFO tabu : New best sgp (776) found
1587717169 INFO tabu : New best sgp (772) found
1587717169 INFO tabu : New best sgp (768) found
1587717169 INFO tabu : New best sgp (764) found
1587717169 INFO tabu : New best sgp (760) found
1587717169 INFO tabu : New best sgp (756) found
1587717169 INFO tabu : New best sgp (752) found
1587717170 INFO tabu : New best sgp (748) found
1587717170 INFO tabu : New best sgp (744) found
1587717170 INFO tabu : New best sgp (740) found
1587717170 INFO tabu : New best sgp (736) found
1587717170 INFO tabu : New best sgp (732) found
1587717170 INFO tabu : New best sgp (728) found
1587717170 INFO tabu : New best sgp (724) found
1587717170 INFO tabu : New best sgp (720) found
1587717170 INFO tabu : New best sgp (716) found
1587717170 INFO tabu : New best sgp (712) found
1587717170 INFO tabu : New best sgp (708) found
1587717170 INFO tabu : New best sgp (704) found
1587717171 INFO tabu : New best sgp (700) found
1587717171 INFO tabu : New best sgp (696) found
1587717171 INFO tabu : New best sgp (692) found
1587717171 INFO tabu : New best sgp (688) found
1587717171 INFO tabu : New best sgp (684) found
1587717171 INFO tabu : New best sgp (680) found
1587717171 INFO tabu : New best sgp (676) found
1587717171 INFO tabu : New best sgp (672) found
1587717171 INFO tabu : New best sgp (668) found
1587717171 INFO tabu : New best sgp (664) found
1587717171 INFO tabu : New best sgp (660) found
1587717171 INFO tabu : New best sgp (656) found
1587717172 INFO tabu : New best sgp (652) found
1587717172 INFO tabu : New best sgp (648) found
1587717172 INFO tabu : New best sgp (644) found
1587717172 INFO tabu : New best sgp (640) found
1587717172 INFO tabu : New best sgp (636) found
1587717172 INFO tabu : New best sgp (632) found
1587717172 INFO tabu : New best sgp (628) found
1587717172 INFO tabu : New best sgp (624) found
1587717172 INFO tabu : New best sgp (620) found
1587717172 INFO tabu : New best sgp (616) found
1587717172 INFO tabu : New best sgp (612) found
1587717172 INFO tabu : New best sgp (608) found
1587717172 INFO tabu : New best sgp (604) found
1587717173 INFO tabu : New best sgp (600) found
1587717173 INFO tabu : New best sgp (596) found
1587717173 INFO tabu : New best sgp (592) found
1587717173 INFO tabu : New best sgp (588) found
1587717173 INFO tabu : New best sgp (584) found
1587717173 INFO tabu : New best sgp (580) found
1587717173 INFO tabu : New best sgp (576) found
1587717173 INFO tabu : New best sgp (572) found
1587717173 INFO tabu : New best sgp (568) found
1587717173 INFO tabu : New best sgp (564) found
1587717173 INFO tabu : New best sgp (560) found
1587717173 INFO tabu : New best sgp (556) found
1587717173 INFO tabu : New best sgp (552) found
1587717174 INFO tabu : New best sgp (548) found
1587717174 INFO tabu : New best sgp (544) found
1587717174 INFO tabu : New best sgp (540) found
1587717174 INFO tabu : New best sgp (536) found
1587717174 INFO tabu : New best sgp (532) found
1587717174 INFO tabu : New best sgp (528) found
1587717174 INFO tabu : New best sgp (524) found
1587717174 INFO tabu : New best sgp (520) found
1587717174 INFO tabu : New best sgp (516) found
1587717174 INFO tabu : New best sgp (512) found
1587717174 INFO tabu : New best sgp (508) found
1587717174 INFO tabu : New best sgp (504) found
1587717174 INFO tabu : New best sgp (500) found
1587717174 INFO tabu : New best sgp (496) found
1587717174 INFO tabu : New best sgp (492) found
1587717175 INFO tabu : New best sgp (488) found
1587717175 INFO tabu : New best sgp (484) found
1587717175 INFO tabu : New best sgp (480) found
1587717175 INFO tabu : New best sgp (476) found
1587717175 INFO tabu : New best sgp (472) found
1587717175 INFO tabu : New best sgp (468) found
1587717175 INFO tabu : New best sgp (464) found
1587717175 INFO tabu : New best sgp (460) found
1587717175 INFO tabu : New best sgp (456) found
1587717175 INFO tabu : New best sgp (452) found
1587717175 INFO tabu : New best sgp (449) found
1587717175 INFO tabu : New best sgp (446) found
1587717175 INFO tabu : New best sgp (443) found
1587717175 INFO tabu : New best sgp (440) found
1587717176 INFO tabu : New best sgp (437) found
1587717176 INFO tabu : New best sgp (434) found
1587717176 INFO tabu : New best sgp (430) found
1587717176 INFO tabu : New best sgp (427) found
1587717176 INFO tabu : New best sgp (424) found
1587717176 INFO tabu : New best sgp (421) found
1587717176 INFO tabu : New best sgp (418) found
1587717176 INFO tabu : New best sgp (415) found
1587717176 INFO tabu : New best sgp (412) found
1587717176 INFO tabu : New best sgp (409) found
1587717176 INFO tabu : New best sgp (406) found
1587717176 INFO tabu : New best sgp (403) found
1587717176 INFO tabu : New best sgp (400) found
1587717176 INFO tabu : New best sgp (397) found
1587717176 INFO tabu : New best sgp (394) found
1587717176 INFO tabu : New best sgp (391) found
1587717176 INFO tabu : New best sgp (388) found
1587717177 INFO tabu : New best sgp (385) found
1587717177 INFO tabu : New best sgp (382) found
1587717177 INFO tabu : New best sgp (379) found
1587717177 INFO tabu : New best sgp (376) found
1587717177 INFO tabu : New best sgp (373) found
1587717177 INFO tabu : New best sgp (370) found
1587717177 INFO tabu : New best sgp (367) found
1587717177 INFO tabu : New best sgp (364) found
1587717177 INFO tabu : New best sgp (361) found
1587717177 INFO tabu : New best sgp (358) found
1587717177 INFO tabu : New best sgp (355) found
1587717177 INFO tabu : New best sgp (352) found
1587717177 INFO tabu : New best sgp (349) found
1587717177 INFO tabu : New best sgp (346) found
1587717177 INFO tabu : New best sgp (343) found
1587717177 INFO tabu : New best sgp (340) found
1587717177 INFO tabu : New best sgp (337) found
1587717177 INFO tabu : New best sgp (334) found
1587717177 INFO tabu : New best sgp (331) found
1587717178 INFO tabu : New best sgp (328) found
1587717178 INFO tabu : New best sgp (325) found
1587717178 INFO tabu : New best sgp (322) found
1587717178 INFO tabu : New best sgp (319) found
1587717178 INFO tabu : New best sgp (316) found
1587717178 INFO tabu : New best sgp (313) found
1587717178 INFO tabu : New best sgp (310) found
1587717178 INFO tabu : New best sgp (307) found
1587717178 INFO tabu : New best sgp (304) found
1587717178 INFO tabu : New best sgp (301) found
1587717178 INFO tabu : New best sgp (298) found
1587717178 INFO tabu : New best sgp (295) found
1587717178 INFO tabu : New best sgp (292) found
1587717178 INFO tabu : New best sgp (289) found
1587717178 INFO tabu : New best sgp (286) found
1587717178 INFO tabu : New best sgp (283) found
1587717178 INFO tabu : New best sgp (280) found
1587717178 INFO tabu : New best sgp (277) found
1587717178 INFO tabu : New best sgp (274) found
1587717178 INFO tabu : New best sgp (271) found
1587717178 INFO tabu : New best sgp (268) found
1587717179 INFO tabu : New best sgp (265) found
1587717179 INFO tabu : New best sgp (262) found
1587717179 INFO tabu : New best sgp (259) found
1587717179 INFO tabu : New best sgp (257) found
1587717179 INFO tabu : New best sgp (255) found
1587717179 INFO tabu : New best sgp (253) found
1587717179 INFO tabu : New best sgp (251) found
1587717179 INFO tabu : New best sgp (249) found
1587717179 INFO tabu : New best sgp (247) found
1587717179 INFO tabu : New best sgp (245) found
1587717179 INFO tabu : New best sgp (243) found
1587717179 INFO tabu : New best sgp (241) found
1587717179 INFO tabu : New best sgp (239) found
1587717179 INFO tabu : New best sgp (237) found
1587717179 INFO tabu : New best sgp (235) found
1587717179 INFO tabu : New best sgp (233) found
1587717179 INFO tabu : New best sgp (231) found
1587717179 INFO tabu : New best sgp (229) found
1587717179 INFO tabu : New best sgp (227) found
1587717179 INFO tabu : New best sgp (225) found
1587717179 INFO tabu : New best sgp (223) found
1587717179 INFO tabu : New best sgp (221) found
1587717179 INFO tabu : New best sgp (218) found
1587717179 INFO tabu : New best sgp (216) found
1587717179 INFO tabu : New best sgp (214) found
1587717180 INFO tabu : New best sgp (212) found
1587717180 INFO tabu : New best sgp (210) found
1587717180 INFO tabu : New best sgp (208) found
1587717180 INFO tabu : New best sgp (206) found
1587717180 INFO tabu : New best sgp (204) found
1587717180 INFO tabu : New best sgp (202) found
1587717180 INFO tabu : New best sgp (200) found
1587717180 INFO tabu : New best sgp (198) found
1587717180 INFO tabu : New best sgp (196) found
1587717180 INFO tabu : New best sgp (194) found
1587717180 INFO tabu : New best sgp (192) found
1587717180 INFO tabu : New best sgp (190) found
1587717180 INFO tabu : New best sgp (188) found
1587717180 INFO tabu : New best sgp (186) found
1587717180 INFO tabu : New best sgp (183) found
1587717180 INFO tabu : New best sgp (181) found
1587717180 INFO tabu : New best sgp (179) found
1587717180 INFO tabu : New best sgp (176) found
1587717180 INFO tabu : New best sgp (174) found
1587717180 INFO tabu : New best sgp (172) found
1587717180 INFO tabu : New best sgp (170) found
1587717180 INFO tabu : New best sgp (168) found
1587717180 INFO tabu : New best sgp (166) found
1587717180 INFO tabu : New best sgp (164) found
1587717180 INFO tabu : New best sgp (162) found
1587717180 INFO tabu : New best sgp (160) found
1587717180 INFO tabu : New best sgp (158) found
1587717180 INFO tabu : New best sgp (156) found
1587717180 INFO tabu : New best sgp (154) found
1587717180 INFO tabu : New best sgp (152) found
1587717180 INFO tabu : New best sgp (150) found
1587717181 INFO tabu : New best sgp (148) found
1587717181 INFO tabu : New best sgp (146) found
1587717181 INFO tabu : New best sgp (144) found
1587717181 INFO tabu : New best sgp (142) found
1587717181 INFO tabu : New best sgp (140) found
1587717181 INFO tabu : New best sgp (138) found
1587717181 INFO tabu : New best sgp (136) found
1587717181 INFO tabu : New best sgp (134) found
1587717181 INFO tabu : New best sgp (132) found
1587717181 INFO tabu : New best sgp (130) found
1587717181 INFO tabu : New best sgp (128) found
1587717181 INFO tabu : New best sgp (126) found
1587717181 INFO tabu : New best sgp (124) found
1587717181 INFO tabu : New best sgp (122) found
1587717181 INFO tabu : New best sgp (120) found
1587717181 INFO tabu : New best sgp (118) found
1587717181 INFO tabu : New best sgp (116) found
1587717181 INFO tabu : New best sgp (114) found
1587717181 INFO tabu : New best sgp (112) found
1587717181 INFO tabu : New best sgp (110) found
1587717181 INFO tabu : New best sgp (109) found
1587717181 INFO tabu : New best sgp (107) found
1587717181 INFO tabu : New best sgp (106) found
1587717181 INFO tabu : New best sgp (105) found
1587717181 INFO tabu : New best sgp (104) found
1587717181 INFO tabu : New best sgp (103) found
1587717181 INFO tabu : New best sgp (101) found
1587717181 INFO tabu : New best sgp (99) found
1587717181 INFO tabu : New best sgp (98) found
1587717181 INFO tabu : New best sgp (97) found
1587717181 INFO tabu : New best sgp (96) found
1587717181 INFO tabu : New best sgp (95) found
1587717181 INFO tabu : New best sgp (94) found
1587717181 INFO tabu : New best sgp (92) found
1587717181 INFO tabu : New best sgp (91) found
1587717181 INFO tabu : New best sgp (90) found
1587717181 INFO tabu : New best sgp (89) found
1587717181 INFO tabu : New best sgp (88) found
1587717181 INFO tabu : New best sgp (87) found
1587717181 INFO tabu : New best sgp (86) found
1587717181 INFO tabu : New best sgp (85) found
1587717181 INFO tabu : New best sgp (84) found
1587717181 INFO tabu : New best sgp (81) found
1587717181 INFO tabu : New best sgp (80) found
1587717182 INFO tabu : New best sgp (79) found
1587717182 INFO tabu : New best sgp (78) found
1587717182 INFO tabu : New best sgp (77) found
1587717182 INFO tabu : New best sgp (75) found
1587717182 INFO tabu : New best sgp (74) found
1587717182 INFO tabu : New best sgp (73) found
1587717182 INFO tabu : New best sgp (72) found
1587717182 INFO tabu : New best sgp (71) found
1587717182 INFO tabu : New best sgp (70) found
1587717182 INFO tabu : New best sgp (69) found
1587717182 INFO tabu : New best sgp (68) found
1587717182 INFO tabu : New best sgp (67) found
1587717182 INFO tabu : New best sgp (66) found
1587717182 INFO tabu : New best sgp (65) found
1587717182 INFO tabu : New best sgp (64) found
1587717182 INFO tabu : New best sgp (63) found
1587717182 INFO tabu : New best sgp (61) found
1587717182 INFO tabu : New best sgp (60) found
1587717182 INFO tabu : New best sgp (59) found
1587717182 INFO tabu : New best sgp (58) found
1587717182 INFO tabu : New best sgp (57) found
1587717182 INFO tabu : New best sgp (56) found
1587717182 INFO tabu : New best sgp (55) found
1587717182 INFO tabu : New best sgp (53) found
1587717182 INFO tabu : New best sgp (52) found
1587717182 INFO tabu : New best sgp (51) found
1587717182 INFO tabu : New best sgp (50) found
1587717182 INFO tabu : New best sgp (49) found
